Genotype,Condition,Odor,Response.time,Experimenter,Date,,,
cest-2.1,control,30pct,2.41,TB,2021-08-31,,,
cest-2.1,control,30pct,3.41,TB,2021-08-31,,,
cest-2.1,control,30pct,6.32,TB,2021-08-31,,,
cest-2.1,control,30pct,2.25,TB,2021-08-31,,,
cest-2.1,control,30pct,3.05,TB,2021-08-31,,,
cest-2.1,control,30pct,4.37,TB,2021-08-31,,,
cest-2.1,control,30pct,1.31,TB,2021-08-31,,,
cest-2.1,control,30pct,2.38,TB,2021-08-31,,,
cest-2.1,control,30pct,2.75,TB,2021-08-31,,,
cest-2.1,control,30pct,3.19,TB,2021-08-31,,,
cest-2.1,control,30pct,4.48,TB,2021-08-31,,,
N2,control,30pct,9.52,TB,2021-08-31,,,
N2,control,30pct,2.75,TB,2021-08-31,,,
N2,control,30pct,2.16,TB,2021-08-31,,,
N2,control,30pct,2.78,TB,2021-08-31,,,
N2,control,30pct,5.96,TB,2021-08-31,,,
N2,control,30pct,3.71,TB,2021-08-31,,,
N2,control,30pct,2.93,TB,2021-08-31,,,
N2,control,30pct,5.46,TB,2021-08-31,,,
N2,control,30pct,3.09,TB,2021-08-31,,,
N2,control,30pct,4.86,TB,2021-08-31,,,
N2,control,30pct,3.25,TB,2021-08-31,,,
N2,control,30pct,5.24,TB,2021-08-31,,,
N2,control,30pct,1.07,TB,2021-08-31,,,
N2,control,30pct,4.16,TB,2021-08-31,,,
N2,control,30pct,7.58,TB,2021-08-31,,,
N2,control,30pct,3.1,TB,2021-08-31,,,
N2,control,30pct,4.29,TB,2021-08-31,,,
N2,control,30pct,5.2,MOD,2021-08-31,,,
N2,control,30pct,1.5,MOD,2021-08-31,,,
N2,control,30pct,3.1,MOD,2021-08-31,,,
N2,control,30pct,8.8,MOD,2021-08-31,,,
N2,control,30pct,3.4,MOD,2021-08-31,,,
N2,control,30pct,11.2,MOD,2021-08-31,,,
N2,control,30pct,2.6,MOD,2021-08-31,,,
N2,control,30pct,1.2,MOD,2021-08-31,,,
N2,control,30pct,10.9,MOD,2021-08-31,,,
N2,control,30pct,1.7,MOD,2021-08-31,,,
cest-2.1,control,30pct,1.7,MOD,2021-08-31,,,
cest-2.1,control,30pct,1.1,MOD,2021-08-31,,,
cest-2.1,control,30pct,0.9,MOD,2021-08-31,,,
cest-2.1,control,30pct,13.6,MOD,2021-08-31,,,
cest-2.1,control,30pct,1.6,MOD,2021-08-31,,,
cest-2.1,control,30pct,8.7,MOD,2021-08-31,,,
cest-2.1,control,30pct,6.6,MOD,2021-08-31,,,
cest-2.1,control,30pct,1.4,MOD,2021-08-31,,,
